1 2 3 4 5 6 7 8
version_number compiler build MESA_SDK_version math_backend date burn_min1 burn_min2
"12778" "gfortran" "9.2.0" "x86_64-linux-20.3.2" "CRMATH" "20220421" 5.0000000000000000E+001 1.0000000000000000E+003

1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57
model_number star_age star_mass log_L log_R log_Teff log_center_T log_center_Rho log_center_P center_h1 center_he3 center_he4 center_c12 center_n14 center_o16 center_ne20 center_mg24 center_si28 center_s32 center_ar36 center_ca40 center_ti44 center_cr48 center_fe52 center_fe54 center_fe56 center_ni56 center_degeneracy center_ye center_entropy compactness_parameter dynamic_timescale kh_timescale nuc_timescale pp cno tri_alfa log_LH log_LHe log_LZ log_Lneu he_core_mass c_core_mass o_core_mass si_core_mass fe_core_mass he_core_radius c_core_radius o_core_radius si_core_radius fe_core_radius max_abs_v_velocity surf_avg_omega_div_omega_crit log_total_angular_momentum surf_avg_omega surf_avg_v_rot star_mdot
1 1.0000000000000001E-005 4.9999999999998892E+001 5.4701371436935258E+000 2.6712134350203507E+000 3.7935569866395191E+000 6.0760294880196382E+000 -4.1064025607110137E+000 1.0259076011084389E+001 7.5970000000000004E-001 2.5562114240441058E-005 2.4017443788575957E-001 2.0596951064740936E-005 6.0335156651373526E-006 5.6019382083326424E-005 1.2564618982421071E-005 4.7855322043632006E-006 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -1.1936015456171038E+001 8.7985426035237346E-001 3.5984410572953855E+001 9.6690455754589325E-005 1.4383637252816794E+007 4.2380782292368207E+002 1.6936858556106663E+006 -1.1988899251203552E+001 -3.8424140313186413E+001 -9.8999999999999986E+001 -1.1988899251203552E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -1.3386767408292140E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -1.1077500897010584E-007
2 2.2000000000000003E-005 4.9999999999997577E+001 5.4701357633334267E+000 2.6712133536145601E+000 3.7935566822523894E+000 6.0760300282321875E+000 -4.1064012590431087E+000 1.0259077942276079E+001 7.5970000000000004E-001 2.5562114240441058E-005 2.4017443788575954E-001 2.0596951064740936E-005 6.0335156651373535E-006 5.6019382083326424E-005 1.2564618982421071E-005 4.7855322043632006E-006 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -1.1936014284407724E+001 8.7985426035237324E-001 3.5984410450988712E+001 9.6690554526153034E-005 1.4383633208632976E+007 4.2380924939552989E+002 1.6936912388245182E+006 -1.1988892069264535E+001 -3.8424115606252954E+001 -9.8999999999999986E+001 -1.1988892069264535E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -1.3386760226353097E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -1.1077469570381990E-007
3 3.6400000000000004E-005 4.9999999999995985E+001 5.4701341741741745E+000 2.6712132666195489E+000 3.7935563284600824E+000 6.0760300463465686E+000 -4.1064012173277282E+000 1.0259078005641129E+001 7.5970000000000004E-001 2.5562114240441061E-005 2.4017443788575960E-001 2.0596951064740936E-005 6.0335156651373526E-006 5.6019382083326424E-005 1.2564618982421071E-005 4.7855322043632006E-006 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -1.1936014249596353E+001 8.7985426035237324E-001 3.5984410466051990E+001 9.6690558053198173E-005 1.4383628886781806E+007 4.2381088508529581E+002 1.6936974363474352E+006 -1.1988891858206543E+001 -3.8424114879281490E+001 -9.8999999999999986E+001 -1.1988891858206543E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -1.3386760015295103E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -1.1077432285451036E-007
4 5.3680000000000001E-005 4.9999999999994074E+001 5.4701323326496993E+000 2.6712131655366118E+000 3.7935559186204322E+000 6.0760300680815691E+000 -4.1064011672647656E+000 1.0259078081678277E+001 7.5970000000000004E-001 2.5562114240441058E-005 2.4017443788575957E-001 2.0596951064740936E-005 6.0335156651373535E-006 5.6019382083326431E-005 1.2564618982421071E-005 4.7855322043632006E-006 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -1.1936014207804561E+001 8.7985426035237346E-001 3.5984410484029937E+001 9.6690562285609320E-005 1.4383623865053976E+007 4.2381278080358908E+002 1.6937046180916124E+006 -1.1988891604940109E+001 -3.8424114006926594E+001 -9.8999999999999986E+001 -1.1988891604940109E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -1.3386759762028669E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -1.1077389532318880E-007
5 7.4416000000000000E-005 4.9999999999991772E+001 5.4701302106904190E+000 2.6712130487393289E+000 3.7935554465292536E+000 6.0760300941602106E+000 -4.1064011071830135E+000 1.0259078172921134E+001 7.5970000000000004E-001 2.5562114240441055E-005 2.4017443788575960E-001 2.0596951064740936E-005 6.0335156651373535E-006 5.6019382083326417E-005 1.2564618982421071E-005 4.7855322043632006E-006 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -1.1936014157628536E+001 8.7985426035237346E-001 3.5984410505462577E+001 9.6690567364413830E-005 1.4383618062650923E+007 4.2381496553333528E+002 1.6937128935386387E+006 -1.1988891301026866E+001 -3.8424112960122976E+001 -9.8999999999999986E+001 -1.1988891301026866E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -1.3386759458115424E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -1.1077339983057728E-007
6 9.9299199999999986E-005 4.9999999999989015E+001 5.4701277827263697E+000 2.6712129146917025E+000 3.7935549065620542E+000 6.0760301254498206E+000 -4.1064010350758249E+000 1.0259078282410357E+001 7.5970000000000004E-001 2.5562114240441058E-005 2.4017443788575957E-001 2.0596951064740936E-005 6.0335156651373526E-006 5.6019382083326424E-005 1.2564618982421070E-005 4.7855322043632006E-006 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -1.1936014097379989E+001 8.7985426035237346E-001 3.5984410530978749E+001 9.6690573458866491E-005 1.4383611403266413E+007 4.2381746573105301E+002 1.6937223624258593E+006 -1.1988890936339279E+001 -3.8424111703987187E+001 -9.8999999999999986E+001 -1.1988890936339279E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -1.3386759093427836E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -1.1077282880321024E-007
7 1.2915903999999998E-004 4.9999999999985704E+001 5.4701250272324966E+000 2.6712127620506099E+000 3.7935542940091320E+000 6.0760301629905697E+000 -4.1064009485340298E+000 1.0259078413794432E+001 7.5970000000000004E-001 2.5562114240441058E-005 2.4017443788575957E-001 2.0596951064740936E-005 6.0335156651373535E-006 5.6019382083326424E-005 1.2564618982421071E-005 4.7855322043632006E-006 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -1.1936014025028008E+001 8.7985426035237324E-001 3.5984410561307669E+001 9.6690580772057261E-005 1.4383603820176359E+007 4.2382030371897304E+002 1.6937331087202369E+006 -1.1988890498725411E+001 -3.8424110196662838E+001 -9.8999999999999986E+001 -1.1988890498725411E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -1.3386758655813964E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -1.1077217532854568E-007
8 1.6499084799999998E-004 4.9999999999981746E+001 5.4701219292793350E+000 2.6712125898139667E+000 3.7935536056391634E+000 6.0760302080298230E+000 -4.1064008446647406E+000 1.0259078571451360E+001 7.5970000000000004E-001 2.5562114240441058E-005 2.4017443788575957E-001 2.0596951064740936E-005 6.0335156651373535E-006 5.6019382083326424E-005 1.2564618982421071E-005 4.7855322043632006E-006 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -1.1936013938128301E+001 8.7985426035237324E-001 3.5984410597284288E+001 9.6690589547682670E-005 1.4383595263599511E+007 4.2382349505131344E+002 1.6937451906708817E+006 -1.1988889973603658E+001 -3.8424108387924861E+001 -9.8999999999999986E+001 -1.1988889973603658E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -1.3386758130692211E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -1.1077143357527001E-007
9 2.0798901759999997E-004 4.9999999999976978E+001 5.4701184836309613E+000 2.6712123975041542E+000 3.7935528403819760E+000 6.0760302620632549E+000 -4.1064007199937214E+000 1.0259078760634605E+001 7.5970000000000004E-001 2.5562114240441058E-005 2.4017443788575957E-001 2.0596951064740936E-005 6.0335156651373535E-006 5.6019382083326417E-005 1.2564618982421071E-005 4.7855322043632006E-006 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -1.1936013833737309E+001 8.7985426035237346E-001 3.5984410639856804E+001 9.6690600078176695E-005 1.4383585709809961E+007 4.2382704531188557E+002 1.6937586287265916E+006 -1.1988889343476416E+001 -3.8424106217504068E+001 -9.8999999999999986E+001 -1.1988889343476416E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -1.3386757500564965E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -1.1077059948167637E-007
